Name,Lat,Lng
Colombo,6.93194,79.84778
Galkissa,6.8293,79.863
Moratuwa,6.773,79.8816
Jaffna,9.66845,80.00742
Negombo,7.2083,79.8358
Pita Kotte,6.8905,79.9015
Sri Jayewardenepura Kotte,6.88297,79.90708
Kandy,7.2955,80.6356
Trincomalee,8.5711,81.2335
Kalmunai,7.40902,81.83472
Galle,6.0367,80.217
Point Pedro,9.81667,80.23333
Batticaloa,7.7102,81.6924
Katunayaka,7.16992,79.88837
Valvedditturai,9.81667,80.16667
Matara,5.94851,80.53528
Battaramulla South,6.8964,79.9181
Dambulla,7.86,80.65167
Maharagama,6.848,79.9265
Kotikawatta,6.9269,79.9095
Anuradhapura,8.31223,80.41306
Vavuniya,8.7514,80.4971
Kolonnawa,6.9329,79.8848
Hendala,6.9909,79.883
Ratnapura,6.68278,80.39917
Badulla,6.9895,81.0557
Puttalam,8.0362,79.8283
Welisara,7.0281,79.9014
Kalutara,6.5831,79.9593
Bentota,6.42598,79.99575
Matale,7.4698,80.6217
Homagama,6.844,80.0024
Beruwala,6.4788,79.9828
Panadura,6.7132,79.9026
Mulleriyawa,6.933,79.9297
Kandana,7.048,79.8937
Ja Ela,7.0744,79.8919
Wattala,6.9779,79.8898
Peliyagoda,6.9685,79.8836
Kelaniya,6.9553,79.922
Kurunegala,7.4863,80.3623
Nuwara Eliya,6.97078,80.78286
Gampola,7.1643,80.5696
Chilaw,7.57583,79.79528
Eravur Town,7.7782,81.6038
Hanwella Ihala,6.9012,80.0852
Weligama,5.97501,80.42968
Vakarai,8.13333,81.43333
Kataragama,6.4134,81.3346
Ambalangoda,6.2355,80.0538
Shanjeev Home,7.38216,81.84198
Ampara,7.29754,81.68202
Kegalle,7.2523,80.3436
Hatton,6.8916,80.5955
Polonnaruwa,7.93965,81.00274
Kilinochchi,9.3961,80.3982
Tangalla,6.02338,80.79738
Monaragala,6.8714,81.3487
Gampaha,7.0897,79.9925
Horana South,6.7159,80.0626
Wattegama,6.7989,81.4808
Minuwangoda,7.1663,79.9533
Horawala Junction,6.48088,80.12708
Kuliyapitiya,7.4688,80.0401
